Element	Z	A	j0	Alpha	Flux	Emin (GeV)
H	1	0	1.15e-05	-2.77	706.8791368965855	10.0
He	2	4	7.19e-06	-2.64	84.10395740282328	20.0
Li	3	7	2.08e-07	-2.54	0.9384182071371074	30.0
Be	4	9	4.74e-08	-2.75	0.23755046778156858	40.0
B	5	11	8.949999999999999e-08	-2.95	0.4959267154453852	50.0
C	6	12	1.06e-06	-2.66	2.138391648019511	60.0
N	7	14	2.35e-07	-2.72	0.415519439134408	70.0
O	8	16	1.57e-06	-2.68	2.0418306850365857	80.0
Fe	9	19	3.2799999999999996e-08	-2.69	0.035640010681162106	90.0
Ne	10	20	4.6e-07	-2.64	0.3841797366956422	100.0
Na	11	23	7.54e-08	-2.66	0.055612430301390466	110.0
Mg	12	24	8.009999999999999e-07	-2.64	0.4960801546790543	120.0
Al	13	27	1.15e-07	-2.66	0.06427827661331953	130.0
Si	14	28	7.96e-07	-2.75	0.44542180028368716	140.0
P	15	31	2.7e-08	-2.69	0.012373805138915674	150.0
S	16	32	2.2899999999999997e-07	-2.55	0.07938488752958642	160.0
Cl	17	35	2.94e-08	-2.68	0.010777157989143681	170.0
Ar	18	40	8.36e-08	-2.64	0.026627831367039122	180.0
K	19	39	5.3600000000000004e-08	-2.65	0.015789111071195704	190.0
Ca	20	40	1.47e-07	-2.7	0.04185407880109505	200.0
Sc	21	45	3.04e-08	-2.64	0.007519869066792817	210.0
Ti	22	48	1.13e-07	-2.61	0.025209955594973403	220.0
V	23	51	6.31e-08	-2.63	0.013330470031152746	230.0
Cr	24	52	1.36e-07	-2.67	0.027700643789181953	240.0
Mn	25	55	1.35e-07	-2.46	0.021958703694949098	250.0
Fe	26	56	1.78e-08	-2.6	0.0030127455657498717	260.0
