Name,Z,CskID,Flux,A
H,1,14,16854570.99,0
He,2,402,1697806.20,4
Li,3,703,17207.62,7
Be,4,904,4997.48,9
B,5,1105,11869.74,11
C,6,1206,43730.14,12
N,7,1407,8823.30,14
O,8,1608,42287.25,16
F,9,1909,734.17,    19
Ne,10,2010,7759.56,    20
Na,11,2311,1126.89,    23
Mg,12,2412,10020.11,24
Al,13,2713,1304.44,    27
Si,14,2814,9640.91,    28
P,15,3115,256.14,    31
S,16,3216,1515.38,    32
Cl,17,3517,221.88,    35
Ar,18,4018,528.74,    40
K,19,3919,317.52,    39
Ca,20,4020,877.93,    40
Sc,21,4521,149.70,    45
Ti,22,4822,490.64,    48
V,23,5123,261.67,    51
Cr,24,5224,560.36,    52
Mn,25,5525,388.92,    55
Fe,26,5626,5844.30,    56
